last_name,first_name,Title,State,district,years_served,link
Duffy,Sean,Representative,Wisconsin,7th,2011-2018,https://www.govtrack.us/congress/members/sean_duffy/412488
Duncan,Jeff,Representative,South Carolina,3rd,2011-2018,https://www.govtrack.us/congress/members/jeff_duncan/412472
Duncan,John “Jimmy”,Representative,Tennessee,2nd,1988-2018,https://www.govtrack.us/congress/members/john_duncan/400116
Dunn,Neal,Representative,Florida,2nd,2017-2018,https://www.govtrack.us/congress/members/neal_dunn/412691
Durbin,Richard,Senator,Illinois,0,1997-2020,https://www.govtrack.us/congress/members/richard_durbin/300038
Ellison,Keith,Representative,Minnesota,5th,2007-2018,https://www.govtrack.us/congress/members/keith_ellison/412215
Emmer,Tom,Representative,Minnesota,6th,2015-2018,https://www.govtrack.us/congress/members/tom_emmer/412639
Engel,Eliot,Representative,New York,16th,2013-2018,https://www.govtrack.us/congress/members/eliot_engel/400122
Enzi,Michael,Senator,Wyoming,0,1997-2020,https://www.govtrack.us/congress/members/michael_enzi/300041
Ernst,Joni,Senator,Iowa,0,2015-2020,https://www.govtrack.us/congress/members/joni_ernst/412667
Eshoo,Anna,Representative,California,18th,2013-2018,https://www.govtrack.us/congress/members/anna_eshoo/400124
Espaillat,Adriano,Representative,New York,13th,2017-2018,https://www.govtrack.us/congress/members/adriano_espaillat/412718
Estes,Ron,Representative,Kansas,4th,2017-2018,https://www.govtrack.us/congress/members/ron_estes/412735
Esty,Elizabeth,Representative,Connecticut,5th,2013-2018,https://www.govtrack.us/congress/members/elizabeth_esty/412524
Evans,Dwight,Representative,Pennsylvania,2nd,2016-2018,https://www.govtrack.us/congress/members/dwight_evans/412677
Farenthold,Blake,Representative,Texas,27th,2011-2018,https://www.govtrack.us/congress/members/blake_farenthold/412482
Faso,John,Representative,New York,19th,2017-2018,https://www.govtrack.us/congress/members/john_faso/412719
Feinstein,Dianne,Senator,California,0,1992-2018,https://www.govtrack.us/congress/members/dianne_feinstein/300043
Ferguson,Drew,Representative,Georgia,3rd,2017-2018,https://www.govtrack.us/congress/members/drew_ferguson/412700
Fischer,Deb,Senator,Nebraska,0,2013-2018,https://www.govtrack.us/congress/members/deb_fischer/412556
Fitzpatrick,Brian,Representative,Pennsylvania,8th,2017-2018,https://www.govtrack.us/congress/members/brian_fitzpatrick/412721
Flake,Jeff,Senator,Arizona,0,2013-2018,https://www.govtrack.us/congress/members/jeff_flake/400134
Fleischmann,Charles “Chuck”,Representative,Tennessee,3rd,2011-2018,https://www.govtrack.us/congress/members/charles_fleischmann/412476
Flores,Bill,Representative,Texas,17th,2011-2018,https://www.govtrack.us/congress/members/bill_flores/412480
Fortenberry,Jeff,Representative,Nebraska,1st,2005-2018,https://www.govtrack.us/congress/members/jeff_fortenberry/400640
Foster,Bill,Representative,Illinois,11th,2013-2018,https://www.govtrack.us/congress/members/bill_foster/412257
Foxx,Virginia,Representative,North Carolina,5th,2005-2018,https://www.govtrack.us/congress/members/virginia_foxx/400643
Frankel,Lois,Representative,Florida,21st,2017-2018,https://www.govtrack.us/congress/members/lois_frankel/412529
Frelinghuysen,Rodney,Representative,New Jersey,11th,1995-2018,https://www.govtrack.us/congress/members/rodney_frelinghuysen/400142
Fudge,Marcia,Representative,Ohio,11th,2008-2018,https://www.govtrack.us/congress/members/marcia_fudge/412327
Gabbard,Tulsi,Representative,Hawaii,2nd,2013-2018,https://www.govtrack.us/congress/members/tulsi_gabbard/412532
Gaetz,Matt,Representative,Florida,1st,2017-2018,https://www.govtrack.us/congress/members/matt_gaetz/412690
Gallagher,Mike,Representative,Wisconsin,8th,2017-2018,https://www.govtrack.us/congress/members/mike_gallagher/412731
Gallego,Ruben,Representative,Arizona,7th,2015-2018,https://www.govtrack.us/congress/members/ruben_gallego/412612
Garamendi,John,Representative,California,3rd,2013-2018,https://www.govtrack.us/congress/members/john_garamendi/412382
Gardner,Cory,Senator,Colorado,0,2015-2020,https://www.govtrack.us/congress/members/cory_gardner/412406
Garrett,Thomas,Representative,Virginia,5th,2017-2018,https://www.govtrack.us/congress/members/thomas_garrett/412729
Gianforte,Greg,Representative,Montana,0,2017-2018,https://www.govtrack.us/congress/members/greg_gianforte/412736
